Category,Subcategory,Line Item,Owner,Unit,Qty per Month,Unit Cost (USD),Monthly Cost (USD),Annual Cost (USD),Phase,Priority,Notes
Models & APIs,LLM API,Prompt + completion usage,AI Team,1M tokens,25,8,200,2400,Phase 1,High,"Assumes blended model routing; optimize with caching/prompt compression"
Models & APIs,Speech/Subtitle API,Transcription + translation,AI Team,hour processed,120,6,720,8640,Phase 1,High,"Initial catalog + ongoing uploads; multilingual target"
Models & APIs,Vision/Video API,Storyboarding/VFX generation,AI Team,1k image/video credits,2,180,360,4320,Phase 2,Medium,"Keep minimal in Phase 1; ramp in Phase 2"
Infrastructure,Cloud Compute,GPU/CPU inference workloads,Engineering,node-month,4,220,880,10560,Phase 1,High,"Inference workers + background jobs"
Infrastructure,Storage,Object storage for assets/artifacts,Engineering,TB-month,3,25,75,900,Phase 1,High,"Subtitles, derivatives, analysis artifacts"
Infrastructure,Data,RAG/vector database,Engineering,instance-month,1,350,350,4200,Phase 1,High,"Internal KB + retrieval services"
Engineering,Staffing,AI Engineer(s),Leadership,FTE-month,2,9000,18000,216000,Phase 1,High,"Build subtitle, script, press kit, agent logic"
Engineering,Staffing,ML Engineer(s),Leadership,FTE-month,1,10000,10000,120000,Phase 2,Medium,"Model eval, optimization, safety tuning"
Engineering,Staffing,Full-stack integration,Leadership,FTE-month,1.5,8000,12000,144000,Phase 1,High,"UI/API integration into IndiFlix workflows"
Quality & Safety,Testing,Model eval + regression testing,AI Team,tooling-month,1,600,600,7200,Phase 1,High,"Eval sets, automated QA, prompt regression"
Quality & Safety,Compliance,Policy/safety review + moderation QA,Ops,retainer-month,1,1200,1200,14400,Phase 1,High,"Content policy + moderation-risk checks"
Tools & Ops,MLOps,Monitoring/observability,Engineering,stack-month,1,450,450,5400,Phase 1,High,"Tracing, latency/error metrics, usage guardrails"
Tools & Ops,Productivity,Third-party AI tooling/licenses,AI Team,bundle-month,1,650,650,7800,Phase 1,Medium,"Prompt tooling, eval helpers, collaboration"
Contingency,Buffer,Risk & volatility reserve (%),Finance,percent,15,6802.5,6802.5,81630,All,High,"15% on subtotal to absorb API/cloud variance"
TOTAL,,AI Implementation Budget (Draft v1),Finance,USD/month,,52287.5,52287.5,627450,All,High,"Subtotal before contingency: 45,485/month | After contingency: 52,287.5/month"
